Year,Account,Financial_Institution_Account_only,Mobile_Money_Account_only,Both_Accounts,Mobile Money Account,Bank Account
2014,74.6578329382712,16.2651992604971,19.4522926918376,38.9403409859365,58.3926336777741,55.2055402464336
2021,79.1951576168317,10.536466048555994,28.62191019897829,40.036781369297415,68.6586915682757,50.5732474178534
2024,90.1199173733613,2.620506098629505,44.6920730061894,42.80733826854238,87.4994112747318,45.4278443671719
