Year,Saved any money  (% age 15+),Saved at a bank or similar financial institution  (% age 15+),Saved at a bank or similar financial institution or using a mobile money account  (% age 15+),Saved money using a mobile money account  (% age 15+),Informal ONLY,Mobile Money ONLY,Both Accounts,Traditional Bank ONLY
2021,66.7671320369555,21.4531739032776,45.0110991275483,37.2453264493391,21.76,23.56,13.69,7.77
2024,70.1941670327483,20.1488814386545,54.4225878392456,50.4706093324556,15.77,34.27,16.2,3.95
