Year,Received private sector wages  (% age 15+),"Received private sector wages: into an account (% of private sector wage recipients, age 15+)","Received private sector wages: through a mobile phone (% of private sector wage recipients, age 15+)",Cash ONLY,Mobile Money / Phone,Traditional Bank or Card ONLY
2021,24.1285199426547,75.6136760486134,60.5440791246106,5.88,14.61,3.64
2024,26.2883447955206,81.1812050561477,70.7290405709424,4.95,18.59,2.75
