Year,Borrowed any money  (% age 15+),Borrowed from a mobile money provider  (% age 15+),Borrowed any money from a formal bank or similar financial institution or using a mobile money account  (% age 15+),Borrowed from a formal bank or similar financial institution  (% age 15+),Informal ONLY,Mobile Money ONLY,Both Accounts,Traditional Bank ONLY
2021,76.01,29.6369870123126,39.6867384230357,22.1745117338,36.32,17.51,12.12,10.05
2024,74.9,32.3654073107561,37.5464332767464,12.6129604153793,37.35,24.93,7.43,5.18
