Country,Code,Year,Account,Digitally enabled Account,Made a Digital Payment,Mobile Money Account,Internet_users,GDP,Mobile_cellular_subscription,Commercial_bank_branches,Poverty_ratio,Urban_population,Bank Account,Financial_Institution_Account_only,Mobile_Money_Account_only,Both_Accounts
Togo,TGO,2021,49.61,,41.33,36.48,30.34,962.08,70.45,4.98,43.8,42.31,24.9,13.130000000000003,24.71,11.769999999999996
Togo,TGO,2022,,,,,35.61,951.23,72.21,4.93,,42.73,,,,
Togo,TGO,2024,57.43,51.32,49.89,47.99,39.48,1119.38,80.8,,,43.81,32.44,9.439999999999998,24.990000000000002,23.0
Uganda,UGA,2011,20.46,,,,4.6,835.62,50.06,2.5,,20.06,20.46,,0.0,
Uganda,UGA,2014,44.45,,38.71,35.1,5.4,896.05,55.96,3.14,,24.19,27.78,9.350000000000001,16.67,18.43
Uganda,UGA,2017,59.2,,51.27,50.58,7.42,765.22,62.1,2.73,,26.41,32.84,8.620000000000005,26.36,24.22
Uganda,UGA,2021,65.91,,60.57,53.8,10.0,882.79,65.62,2.32,,29.24,36.56,12.11,29.349999999999994,24.450000000000003
Uganda,UGA,2022,,,,,9.64,963.07,70.14,2.34,,29.93,,,,
Uganda,UGA,2024,72.83,69.55,67.44,67.74,8.95,1077.91,83.17,,,31.28,26.17,5.090000000000003,46.66,21.08
Zambia,ZMB,2011,21.36,,,,3.5,1624.87,56.55,3.99,,40.37,21.36,,0.0,
Zambia,ZMB,2014,35.64,,22.36,12.11,6.5,1707.49,63.63,4.67,,41.56,31.29,23.53,4.350000000000001,7.759999999999998
Zambia,ZMB,2017,45.86,,33.12,27.84,12.2,1483.47,77.05,4.47,,42.73,35.83,18.02,10.030000000000001,17.81
Zambia,ZMB,2021,48.52,,44.13,41.63,14.82,1127.16,103.28,2.78,,44.24,23.84,6.890000000000001,24.680000000000003,16.95
Zambia,ZMB,2022,,,,,15.0,1447.12,98.44,2.7,60.0,44.6,,,,
Zambia,ZMB,2024,72.7,70.27,68.33,69.31,17.1,1187.11,108.7,,,45.47,24.07,3.3900000000000006,48.63,20.68
Zimbabwe,ZWE,2011,39.65,,,,8.4,1037.78,67.67,6.33,22.5,32.76,39.65,,0.0,
Zimbabwe,ZWE,2014,32.39,,27.63,21.6,16.36,1372.92,83.05,14.67,,33.16,17.19,10.79,15.2,6.400000000000002
Zimbabwe,ZWE,2017,55.29,,49.2,48.58,24.4,3445.45,95.14,5.4,30.4,34.7,28.18,6.710000000000001,27.11,21.47
Zimbabwe,ZWE,2021,59.75,,53.71,50.63,32.59,2613.61,90.25,5.82,,37.87,29.25,9.119999999999997,30.5,20.130000000000003
Zimbabwe,ZWE,2022,,,,,36.26,2536.4,89.0,5.54,,38.71,,,,
Zimbabwe,ZWE,2024,49.52,46.54,42.6,43.33,41.64,2497.2,94.25,,,39.89,21.57,6.190000000000005,27.950000000000003,15.379999999999995
