Country,Code,Year,Account,Digitally enabled Account,Made a Digital Payment,Mobile Money Account,Internet_users,GDP,Mobile_cellular_subscription,Commercial_bank_branches,Poverty_ratio,Urban_population,Bank Account,Financial_Institution_Account_only,Mobile_Money_Account_only,Both_Accounts
Eswatini,SWZ,2021,,,,,54.0,3984.0,118.63,6.2,,25.02,,,,
Eswatini,SWZ,2022,66.18,,60.76,56.74,57.34,3894.16,121.49,6.12,,25.4,38.47,9.440000000000005,27.710000000000008,29.029999999999994
Eswatini,SWZ,2024,65.12,56.59,55.62,50.41,63.4,3909.56,139.83,,,26.25,43.14,14.710000000000008,21.980000000000004,28.429999999999993
Ethiopia,ETH,2011,,,,,1.1,343.02,15.17,1.88,,17.86,,,,
Ethiopia,ETH,2014,21.79,,3.61,0.03,7.7,549.99,30.15,,,19.03,21.79,21.759999999999998,0.0,0.030000000000001137
Ethiopia,ETH,2017,34.83,,6.93,0.32,15.62,696.35,36.11,,,20.31,34.83,34.51,0.0,0.3200000000000003
Ethiopia,ETH,2021,,,,,16.7,893.01,52.81,,33.1,22.11,,,,
Ethiopia,ETH,2022,46.48,,13.89,4.64,17.98,982.1,56.96,12.05,,22.74,46.05,41.839999999999996,0.4299999999999997,4.210000000000001
Ethiopia,ETH,2024,48.83,16.1,16.18,9.45,21.94,1133.88,65.08,,,23.62,48.47,39.379999999999995,0.35999999999999943,9.090000000000003
Gabon,GAB,2011,18.95,,,,18.0,10219.11,133.01,5.29,,86.57,18.95,,0.0,
Gabon,GAB,2014,33.01,,17.26,6.65,38.07,9201.36,148.24,,,87.62,30.15,26.36,2.8599999999999994,3.789999999999999
Gabon,GAB,2017,58.6,,49.87,43.58,51.6,6921.73,123.48,,33.4,89.0,33.98,15.020000000000003,24.620000000000005,18.959999999999994
Gabon,GAB,2021,66.09,,62.32,57.48,65.77,8181.41,132.31,,,90.79,27.55,8.610000000000007,38.540000000000006,18.93999999999999
Gabon,GAB,2022,,,,,67.67,8409.21,123.23,,,91.22,,,,
Gabon,GAB,2024,68.18,63.12,64.43,61.64,68.72,8230.04,125.34,,,91.86,24.83,6.540000000000006,43.35000000000001,18.289999999999992
"Gambia, The",GMB,2011,,,,,10.87,710.61,70.63,6.73,,56.67,,,,
"Gambia, The",GMB,2014,,,,,15.56,568.0,105.51,6.71,,58.61,,,,
"Gambia, The",GMB,2017,28.56,,12.36,,22.52,642.52,126.63,6.64,,60.47,28.56,,0.0,
"Gambia, The",GMB,2021,,,,,41.67,781.89,108.85,5.9,,62.76,,,,
"Gambia, The",GMB,2022,33.01,,16.13,3.75,48.23,836.24,106.78,5.84,,63.29,31.39,29.259999999999998,1.6199999999999974,2.1300000000000026
"Gambia, The",GMB,2024,38.16,22.77,22.63,19.09,49.49,871.34,126.24,,,64.3,30.85,19.069999999999997,7.309999999999995,11.780000000000005
Ghana,GHA,2011,29.43,,,,9.0,1507.44,81.11,5.13,,51.33,29.43,,0.0,
Ghana,GHA,2014,40.51,,19.97,13.01,19.0,1949.91,108.27,5.78,,53.07,34.62,27.5,5.890000000000001,7.119999999999997
Ghana,GHA,2017,57.72,,43.41,38.95,37.88,2012.29,122.47,8.19,,54.7,42.28,18.769999999999996,15.439999999999998,23.510000000000005
Ghana,GHA,2021,68.23,,63.65,59.69,68.6,2445.19,124.4,11.17,,56.7,39.2,8.540000000000006,29.03,30.659999999999997
Ghana,GHA,2022,,,,,69.91,2229.89,120.8,5.75,,57.25,,,,
Ghana,GHA,2024,81.24,79.28,78.88,78.28,72.18,2390.77,113.65,,,58.37,38.74,2.9599999999999937,42.49999999999999,35.78000000000001
Guinea,GIN,2011,3.69,,,,2.0,636.69,45.61,1.57,,34.07,3.69,,0.0,
Guinea,GIN,2014,6.96,,3.74,1.47,6.4,765.15,75.69,2.39,,34.82,6.17,5.49,0.79,0.6799999999999997
Guinea,GIN,2017,23.49,,15.89,13.78,18.7,833.6,94.46,2.66,,35.58,14.63,9.709999999999999,8.859999999999998,4.920000000000002
Guinea,GIN,2021,30.44,,25.04,21.51,28.61,1244.97,110.19,2.63,,36.85,13.77,8.93,16.67,4.84
Guinea,GIN,2022,,,,,31.31,1416.6,95.32,2.74,,37.24,,,,
