Country Name,Country Code,Series Name,Series Code,2011 [YR2011],2014 [YR2014],2017 [YR2017],2021 [YR2021],2022 [YR2022],2024 [YR2024]
Angola,AGO,Bank or similar financial institution account  (% age 15+),fiaccount.t.d,39.2035423430619,29.3181213047365,..,..,..,..
Benin,BEN,Bank or similar financial institution account  (% age 15+),fiaccount.t.d,10.4639370332736,15.9799341770555,31.8845145644183,23.7882555934103,..,19.9061777922869
Botswana,BWA,Bank or similar financial institution account  (% age 15+),fiaccount.t.d,30.2600142850791,49.2435843039061,44.8283061347872,..,49.879700284735,41.6043563988356
Burkina Faso,BFA,Bank or similar financial institution account  (% age 15+),fiaccount.t.d,13.3530920184137,13.4244858663995,23.3405271846963,21.052643162732,..,20.5498915198531
Burundi,BDI,Bank or similar financial institution account  (% age 15+),fiaccount.t.d,7.23798460936825,6.9434607228924,..,..,..,..
Cameroon,CMR,Bank or similar financial institution account  (% age 15+),fiaccount.t.d,14.8096124143559,11.3510369228651,26.8667701820372,23.5348523029986,..,20.9972994048439
Central African Republic,CAF,Bank or similar financial institution account  (% age 15+),fiaccount.t.d,3.30080913421627,..,13.745946426537,..,..,..
Chad,TCD,Bank or similar financial institution account  (% age 15+),fiaccount.t.d,8.95974560162476,7.69949805991659,8.75349682388744,..,18.3170383078721,15.0020897881618
Comoros,COM,Bank or similar financial institution account  (% age 15+),fiaccount.t.d,21.6946740447008,..,..,..,30.5175092606015,40.8476637365756
"Congo, Dem. Rep.",COD,Bank or similar financial institution account  (% age 15+),fiaccount.t.d,3.6967262381342,10.9075909964322,14.9951963586632,..,9.62749157451024,13.5068648234481
"Congo, Rep.",COG,Bank or similar financial institution account  (% age 15+),fiaccount.t.d,10.0480565895901,16.6836553836297,23.2579673827415,18.1228885337368,..,14.7200013718558
Cote d'Ivoire,CIV,Bank or similar financial institution account  (% age 15+),fiaccount.t.d,..,15.1362556502263,14.7665969057908,20.5734957040915,..,16.8252204502837
