Country Name,Country Code,Series Name,Series Code,2011 [YR2011],2014 [YR2014],2017 [YR2017],2021 [YR2021],2022 [YR2022],2024 [YR2024]
Angola,AGO,"Received payments for agricultural products: into an account (% of agricultural payment recipients, age 15+)",fin42.acc.s,..,..,..,..,..,..
Angola,AGO,"Received payments for agricultural products: through a mobile phone (% payment recipients, age 15+)",fin43b.s,..,..,..,..,..,..
Angola,AGO,"Received payments for agricultural products: in cash only (% of agricultural payment recipients, age 15+)",fin43c.s,..,94.7333777707823,..,..,..,..
Benin,BEN,"Received payments for agricultural products: into an account (% of agricultural payment recipients, age 15+)",fin42.acc.s,..,..,..,..,..,..
Benin,BEN,"Received payments for agricultural products: through a mobile phone (% payment recipients, age 15+)",fin43b.s,..,..,..,..,..,..
Benin,BEN,"Received payments for agricultural products: in cash only (% of agricultural payment recipients, age 15+)",fin43c.s,..,95.9807094830386,73.5698417249039,79.2487842862399,..,84.2277302417225
Botswana,BWA,"Received payments for agricultural products: into an account (% of agricultural payment recipients, age 15+)",fin42.acc.s,..,..,..,..,..,..
Botswana,BWA,"Received payments for agricultural products: through a mobile phone (% payment recipients, age 15+)",fin43b.s,..,..,..,..,..,..
Botswana,BWA,"Received payments for agricultural products: in cash only (% of agricultural payment recipients, age 15+)",fin43c.s,..,74.8904975405518,..,..,..,..
Burkina Faso,BFA,"Received payments for agricultural products: into an account (% of agricultural payment recipients, age 15+)",fin42.acc.s,..,..,..,..,..,..
Burkina Faso,BFA,"Received payments for agricultural products: through a mobile phone (% payment recipients, age 15+)",fin43b.s,..,..,..,..,..,..
Burkina Faso,BFA,"Received payments for agricultural products: in cash only (% of agricultural payment recipients, age 15+)",fin43c.s,..,95.3531902932723,73.1461384560758,65.2293990000453,..,77.5329833748017
Burundi,BDI,"Received payments for agricultural products: into an account (% of agricultural payment recipients, age 15+)",fin42.acc.s,..,..,..,..,..,..
Burundi,BDI,"Received payments for agricultural products: through a mobile phone (% payment recipients, age 15+)",fin43b.s,..,..,..,..,..,..
Burundi,BDI,"Received payments for agricultural products: in cash only (% of agricultural payment recipients, age 15+)",fin43c.s,..,83.475974165276,..,..,..,..
