Country Name,Country Code,Series Name,Series Code,2011 [YR2011],2014 [YR2014],2017 [YR2017],2021 [YR2021],2022 [YR2022],2024 [YR2024]
Mauritania,MRT,"Population ages 0-14, total",SP.POP.0014.TO,1538295,1702111,1861093,2065076,2113702,2207911
Mauritius,MUS,"Population, total",SP.POP.TOTL,1252404,1261208,1264887,1266334,1262523,1245779
Mauritius,MUS,"Population ages 0-14, total",SP.POP.0014.TO,257556,243784,226567,201121,195382,184511
Mozambique,MOZ,"Population, total",SP.POP.TOTL,23649039,25788475,28166393,31707800,32656246,34631766
Mozambique,MOZ,"Population ages 0-14, total",SP.POP.0014.TO,10840167,11806637,12808633,14293679,14680067,15403894
Namibia,NAM,"Population, total",SP.POP.TOTL,2146325,2312139,2506853,2810548,2889662,3030131
Namibia,NAM,"Population ages 0-14, total",SP.POP.0014.TO,787303,845046,919178,1049874,1082840,1120535
Niger,NER,"Population, total",SP.POP.TOTL,17176283,19215909,21435446,24502140,25311973,27032412
Niger,NER,"Population ages 0-14, total",SP.POP.0014.TO,8494292,9478189,10463771,11682874,11979311,12597379
Nigeria,NGA,"Population, total",SP.POP.TOTL,171379598,185896915,200254579,218529286,223150896,232679478
Nigeria,NGA,"Population ages 0-14, total",SP.POP.0014.TO,76179768,82561774,87872868,92644833,93617232,95430802
Rwanda,RWA,"Population, total",SP.POP.TOTL,10573733,11364757,12202060,13355260,13651030,14256567
Rwanda,RWA,"Population ages 0-14, total",SP.POP.0014.TO,4458477,4706312,4943477,5160509,5208791,5326367
Sao Tome and Principe,STP,"Population, total",SP.POP.TOTL,185649,196767,206970,221961,226305,235536
Sao Tome and Principe,STP,"Population ages 0-14, total",SP.POP.0014.TO,77922,82705,85598,87347,87776,89099
Senegal,SEN,"Population, total",SP.POP.TOTL,12958897,14152102,15475002,17220867,17651103,18501984
Senegal,SEN,"Population ages 0-14, total",SP.POP.0014.TO,5531488,6024121,6461763,6847409,6912226,7064495
Seychelles,SYC,"Population, total",SP.POP.TOTL,87441,91359,95843,99258,119878,121354
Seychelles,SYC,"Population ages 0-14, total",SP.POP.0014.TO,19395,19723,20142,20297,24348,24212
Sierra Leone,SLE,"Population, total",SP.POP.TOTL,6387251,6876385,7379299,8094602,8276807,8642022
Sierra Leone,SLE,"Population ages 0-14, total",SP.POP.0014.TO,2747701,2902013,3027303,3189699,3225988,3291637
"Somalia, Fed. Rep.",SOM,"Population, total",SP.POP.TOTL,12348830,13339491,14916629,17271431,17801897,19009151
"Somalia, Fed. Rep.",SOM,"Population ages 0-14, total",SP.POP.0014.TO,5964939,6363422,7072558,8109013,8335106,8856978
South Africa,ZAF,"Population, total",SP.POP.TOTL,52995205,55594838,57635162,61502603,62378410,64007187
South Africa,ZAF,"Population ages 0-14, total",SP.POP.0014.TO,15434793,15847081,16289760,16368027,16418735,16567466
South Sudan,SSD,"Population, total",SP.POP.TOTL,10288109,11235073,10259154,10865780,11021177,11943408
South Sudan,SSD,"Population ages 0-14, total",SP.POP.0014.TO,4338235,4770868,4621413,4523910,4502603,4648072
